date_time,close,MCS,Jaccard,VertexRanking,VertexEdgeOverlap,BagOfCliques,BagOfNodes,WeisfeleirLehmanKernel
2022-01-01 00:10:00,46316.17,0.75028,0.72141,0.6556,0.54968,0.55677,0.55668,0.77484
2022-01-01 00:15:00,46265.41,0.22913,0.4998,0.56015,0.32872,0.38655,0.31818,0.63655
2022-01-01 00:20:00,46376.54,0.29052,0.56923,0.76296,0.38994,0.44615,0.39143,0.59963
2022-01-01 00:25:00,46359.09,0.41778,0.6646,0.57821,0.48204,0.53723,0.49571,0.72168
2022-01-01 00:30:00,46425.0,0.51563,0.60232,0.41387,0.42541,0.43187,0.51916,0.52638
2022-01-01 00:35:00,46508.31,0.31786,0.42461,0.14352,0.27312,0.26405,0.39447,0.53956
2022-01-01 00:40:00,46603.64,0.42115,0.41737,0.21938,0.26972,0.2566,0.36498,0.461
2022-01-01 00:45:00,46694.53,0.54472,0.66623,0.18916,0.49014,0.4751,0.63374,0.60083
2022-01-01 00:50:00,46665.2,0.5727,0.67352,0.45559,0.49167,0.50651,0.58528,0.67185
2022-01-01 00:55:00,46656.85,0.51533,0.68429,0.23087,0.50911,0.51887,0.59775,0.6141
2022-01-01 01:00:00,46579.86,0.6736,0.72868,0.76629,0.55911,0.5659,0.65104,0.66499
2022-01-01 01:05:00,46665.0,0.8956,0.83042,0.56749,0.68763,0.66271,0.82559,0.70996
2022-01-01 01:10:00,46760.66,0.675,0.74766,0.48746,0.58308,0.6132,0.60983,0.74361
2022-01-01 01:15:00,46873.68,0.50548,0.71812,0.50713,0.5414,0.5848,0.57323,0.80459
2022-01-01 01:20:00,46846.44,0.74964,0.85372,0.62165,0.71126,0.71822,0.85488,0.81763
2022-01-01 01:25:00,46800.0,0.38903,0.56404,0.50751,0.39152,0.42205,0.42422,0.56484
2022-01-01 01:30:00,46837.55,0.0959,0.39465,0.55802,0.24059,0.33094,0.16591,0.50148
2022-01-01 01:35:00,46801.16,0.38633,0.60865,0.33387,0.427,0.46293,0.4905,0.73255
2022-01-01 01:40:00,46761.78,0.57173,0.68952,0.43171,0.5123,0.52894,0.60326,0.77084
2022-01-01 01:45:00,46771.67,0.28968,0.5725,0.39867,0.3898,0.45532,0.3846,0.7358
2022-01-01 01:50:00,46816.33,0.26742,0.46616,0.27365,0.30427,0.33681,0.3349,0.55081
2022-01-01 01:55:00,46780.85,0.45361,0.62179,0.33166,0.44294,0.48018,0.47119,0.59607
2022-01-01 02:00:00,46824.35,0.23363,0.46327,0.60543,0.29791,0.33084,0.33931,0.52783
2022-01-01 02:05:00,46809.76,0.65643,0.65771,0.58483,0.47838,0.46104,0.60797,0.60366
2022-01-01 02:10:00,46848.97,0.58162,0.6279,0.40473,0.45116,0.44718,0.55397,0.58802
2022-01-01 02:15:00,46914.56,0.37124,0.51291,0.44413,0.34419,0.36567,0.38733,0.5332
2022-01-01 02:20:00,46843.79,0.31761,0.58531,0.5221,0.40789,0.46744,0.38217,0.62578
2022-01-01 02:25:00,46829.2,0.82078,0.83074,0.2076,0.68856,0.64549,0.90544,0.77041
2022-01-01 02:30:00,46791.65,0.6597,0.70544,0.31935,0.53334,0.47133,0.77641,0.61596
2022-01-01 02:35:00,46755.64,0.51765,0.70849,0.35978,0.52743,0.55657,0.60803,0.66635
2022-01-01 02:40:00,46775.68,0.55789,0.62836,0.47337,0.4534,0.42911,0.6036,0.69989
2022-01-01 02:45:00,46804.72,0.43884,0.53771,0.20409,0.36567,0.37282,0.44798,0.66201
2022-01-01 02:50:00,46819.42,0.41086,0.55467,0.40413,0.38227,0.39563,0.44907,0.51915
2022-01-01 02:55:00,46808.55,0.15011,0.27924,0.22691,0.17228,0.16537,0.22296,0.3619
2022-01-01 03:00:00,46781.2,0.65744,0.73331,0.82284,0.56708,0.58319,0.69497,0.57517
2022-01-01 03:05:00,46820.93,0.84275,0.78386,0.66767,0.62952,0.62,0.78524,0.50179
2022-01-01 03:10:00,46820.26,0.51399,0.68087,0.55836,0.51419,0.50779,0.61731,0.66932
2022-01-01 03:15:00,46880.0,0.5635,0.65499,0.53099,0.48619,0.48522,0.57881,0.45353
2022-01-01 03:20:00,46790.21,0.71785,0.77406,0.5272,0.6219,0.59083,0.77449,0.4189
2022-01-01 03:25:00,46804.96,0.49834,0.63676,0.23384,0.46792,0.49278,0.48939,0.45716
2022-01-01 03:30:00,46845.09,0.41915,0.52586,0.36996,0.36308,0.36281,0.44264,0.45134
2022-01-01 03:35:00,46847.76,0.58002,0.73684,0.53694,0.57556,0.57629,0.67144,0.82478
2022-01-01 03:40:00,46869.98,0.4524,0.67176,0.34562,0.50497,0.53676,0.51112,0.78131
2022-01-01 03:45:00,46822.72,0.30028,0.54975,0.45686,0.38866,0.42442,0.38961,0.40458
2022-01-01 03:50:00,46863.25,0.39429,0.58944,0.44889,0.42606,0.44131,0.46251,0.53945
2022-01-01 03:55:00,46804.01,0.37014,0.59179,0.40448,0.42435,0.44929,0.46181,0.57647
2022-01-01 04:00:00,46848.69,0.40875,0.59296,0.09693,0.42958,0.43367,0.49469,0.49248
2022-01-01 04:05:00,46833.78,0.61322,0.65805,0.50417,0.49051,0.47154,0.61207,0.61575
2022-01-01 04:10:00,46647.73,0.74673,0.69487,0.50646,0.5267,0.4776,0.70508,0.77947
2022-01-01 04:15:00,46629.59,0.37848,0.47179,0.3161,0.31549,0.33314,0.40013,0.51578
2022-01-01 04:20:00,46666.91,0.52398,0.69463,0.73073,0.51981,0.54266,0.58936,0.81878
2022-01-01 04:25:00,46700.54,0.41681,0.66986,0.60323,0.49934,0.53683,0.51471,0.61238
2022-01-01 04:30:00,46662.78,0.51471,0.67281,0.40188,0.50659,0.51585,0.56968,0.79221
2022-01-01 04:35:00,46684.44,0.40036,0.55681,0.31207,0.39424,0.41285,0.42778,0.49583
2022-01-01 04:40:00,46728.57,0.48921,0.62413,0.26572,0.45822,0.44865,0.55321,0.525
2022-01-01 04:45:00,46816.24,0.59567,0.55002,0.0627,0.38769,0.29636,0.61888,0.2449
2022-01-01 04:50:00,46787.0,0.5462,0.65797,0.30662,0.49507,0.4621,0.63454,0.3362
2022-01-01 04:55:00,46701.29,0.46468,0.6071,0.43607,0.44376,0.45293,0.48721,0.49905
2022-01-01 05:00:00,46693.37,0.30657,0.36844,0.33132,0.24322,0.2381,0.26941,0.80346
2022-01-01 05:05:00,46682.57,0.6371,0.58967,0.31377,0.42654,0.40309,0.49515,0.77073
2022-01-01 05:10:00,46765.91,0.67579,0.6717,0.23542,0.50065,0.49877,0.55881,0.78038
2022-01-01 05:15:00,46815.5,0.39619,0.55301,0.27202,0.3874,0.39083,0.44314,0.53879
2022-01-01 05:20:00,47436.63,0.41471,0.64564,0.33057,0.47424,0.5077,0.48769,0.76972
2022-01-01 05:25:00,47383.45,0.51125,0.59569,0.23888,0.42888,0.41407,0.53593,0.62678
2022-01-01 05:30:00,47483.02,0.49539,0.57741,0.25892,0.41092,0.41281,0.48008,0.69905
2022-01-01 05:35:00,47465.68,0.5344,0.58307,0.07049,0.41668,0.3795,0.56484,0.66059
2022-01-01 05:40:00,47295.68,0.50914,0.62396,0.34817,0.45503,0.4342,0.57569,0.67057
2022-01-01 05:45:00,47238.88,0.41494,0.61386,0.37257,0.44413,0.46699,0.47536,0.58997
2022-01-01 05:50:00,47265.62,0.56735,0.69165,0.45948,0.52391,0.50008,0.66348,0.7345
2022-01-01 05:55:00,47188.0,0.36616,0.5296,0.18757,0.36524,0.36818,0.43544,0.39262
2022-01-01 06:00:00,47111.42,0.31687,0.47014,0.39345,0.31601,0.339,0.33238,0.51665
2022-01-01 06:05:00,47272.77,0.63753,0.69664,0.70936,0.52832,0.55747,0.51034,0.67451
2022-01-01 06:10:00,47305.4,0.66686,0.78197,0.64536,0.62096,0.66072,0.62611,0.61774
2022-01-01 06:15:00,47199.39,0.54021,0.67634,0.44497,0.5035,0.5334,0.51668,0.66206
2022-01-01 06:20:00,47176.96,0.16895,0.4794,0.31299,0.32743,0.38575,0.25525,0.61399
2022-01-01 06:25:00,47129.3,0.39739,0.56711,0.37653,0.40181,0.39888,0.48521,0.69591
2022-01-01 06:30:00,47143.22,0.36219,0.53879,0.46731,0.36615,0.42781,0.33387,0.64977
2022-01-01 06:35:00,47139.23,0.61662,0.70034,0.41649,0.52864,0.5497,0.57304,0.6181
2022-01-01 06:40:00,47160.0,0.56413,0.72002,0.44255,0.55128,0.59121,0.56414,0.63507
2022-01-01 06:45:00,47072.32,0.20557,0.50656,0.33056,0.35092,0.40817,0.29539,0.61859
