algorithm,hypothesis,year,ftest_lags&p_value,adf_dist_p_values,adf_dist_diff_order,adf_price_p_values,adf_price_diff_order
MCS,$H_0$,2018,"1 (0.7580), 2 (0.6692), 3 (0.7686), 4 (0.8744), 5 (0.9135)",[0.0],0,"[0.9319, 0.0]",1
MCS,$H_A$,2018,"1 (0.5865), 2 (0.7110), 3 (0.8961), 4 (0.9523), 5 (0.9750)",[0.0],0,"[0.9319, 0.0]",1
Jaccard,$H_0$,2018,"1 (0.8563), 2 (0.6856), 3 (0.7803), 4 (0.8965), 5 (0.9500)",[0.0],0,"[0.9319, 0.0]",1
Jaccard,$H_A$,2018,"1 (0.6971), 2 (0.8905), 3 (0.9731), 4 (0.9937), 5 (0.9923)",[0.0],0,"[0.9319, 0.0]",1
VertexRanking,$H_0$,2018,"1 (0.6419), 2 (0.7792), 3 (0.5721), 4 (0.7326), 5 (0.8451)",[0.0],0,"[0.9319, 0.0]",1
VertexRanking,$H_A$,2018,"1 (0.4338), 2 (0.7043), 3 (0.8770), 4 (0.9504), 5 (0.9821)",[0.0],0,"[0.9319, 0.0]",1
VertexEdgeOverlap,$H_0$,2018,"1 (0.8875), 2 (0.7306), 3 (0.7563), 4 (0.8764), 5 (0.9313)",[0.0],0,"[0.9319, 0.0]",1
VertexEdgeOverlap,$H_A$,2018,"1 (0.6049), 2 (0.7137), 3 (0.8677), 4 (0.9462), 5 (0.9796)",[0.0],0,"[0.9319, 0.0]",1
BagOfCliques,$H_0$,2018,"1 (0.9805), 2 (0.5203), 3 (0.7210), 4 (0.8484), 5 (0.8459)",[0.0],0,"[0.9319, 0.0]",1
BagOfCliques,$H_A$,2018,"1 (0.7391), 2 (0.9551), 3 (0.9767), 4 (0.9725), 5 (0.9856)",[0.0],0,"[0.9319, 0.0]",1
BagOfNodes,$H_0$,2018,"1 (0.7559), 2 (0.8168), 3 (0.8049), 4 (0.9085), 5 (0.9472)",[0.0],0,"[0.9319, 0.0]",1
BagOfNodes,$H_A$,2018,"1 (0.6628), 2 (0.8333), 3 (0.9360), 4 (0.9760), 5 (0.9927)",[0.0],0,"[0.9319, 0.0]",1
WeisfeleirLehmanKernel,$H_0$,2018,"1 (0.9412), 2 (0.8235), 3 (0.9404), 4 (0.9070), 5 (0.8936)",[0.0],0,"[0.9319, 0.0]",1
WeisfeleirLehmanKernel,$H_A$,2018,"1 (0.3003), 2 (0.3119), 3 (0.4685), 4 (0.6128), 5 (0.7425)",[0.0],0,"[0.9319, 0.0]",1
