algorithm,hypothesis,year,ftest_lags&p_value,adf_dist_p_values,adf_dist_diff_order,adf_price_p_values,adf_price_diff_order
MCS,$H_0$,2022,"1 (0.7038), 2 (0.0606), 3 (0.0615), 4 (0.0585), 5 (0.0794)",[0.0],0,"[0.5473, 0.0]",1
MCS,$H_A$,2022,"1 (0.1096), 2 (0.2527), 3 (0.6822), 4 (0.9090), 5 (0.6054)",[0.0],0,"[0.5473, 0.0]",1
Jaccard,$H_0$,2022,"1 (0.8879), 2 (0.0955), 3 (0.1136), 4 (0.0905), 5 (0.1057)",[0.0],0,"[0.5473, 0.0]",1
Jaccard,$H_A$,2022,"1 (0.1051), 2 (0.1906), 3 (0.5225), 4 (0.5943), 5 (0.7530)",[0.0],0,"[0.5473, 0.0]",1
VertexRanking,$H_0$,2022,"1 (0.4158), 2 (0.6642), 3 (0.7991), 4 (0.8857), 5 (0.7916)",[0.0],0,"[0.5473, 0.0]",1
VertexRanking,$H_A$,2022,"1 (0.0918), 2 (0.2421), 3 (0.4076), 4 (0.5929), 5 (0.4141)",[0.0],0,"[0.5473, 0.0]",1
VertexEdgeOverlap,$H_0$,2022,"1 (0.9026), 2 (0.1192), 3 (0.1248), 4 (0.1102), 5 (0.1353)",[0.0],0,"[0.5473, 0.0]",1
VertexEdgeOverlap,$H_A$,2022,"1 (0.1259), 2 (0.1933), 3 (0.5480), 4 (0.5987), 5 (0.7491)",[0.0],0,"[0.5473, 0.0]",1
BagOfCliques,$H_0$,2022,"1 (0.7104), 2 (0.1948), 3 (0.2029), 4 (0.1089), 5 (0.0970)",[0.0],0,"[0.5473, 0.0]",1
BagOfCliques,$H_A$,2022,"1 (0.0461), 2 (0.0657), 3 (0.2666), 4 (0.3816), 5 (0.5329)",[0.0],0,"[0.5473, 0.0]",1
BagOfNodes,$H_0$,2022,"1 (0.6459), 2 (0.0205), 3 (0.0206), 4 (0.0388), 5 (0.0534)",[0.0],0,"[0.5473, 0.0]",1
BagOfNodes,$H_A$,2022,"1 (0.2191), 2 (0.4600), 3 (0.7750), 4 (0.8094), 5 (0.8814)",[0.0],0,"[0.5473, 0.0]",1
WeisfeleirLehmanKernel,$H_0$,2022,"1 (0.8477), 2 (0.1914), 3 (0.3376), 4 (0.4501), 5 (0.3062)",[0.0],0,"[0.5473, 0.0]",1
WeisfeleirLehmanKernel,$H_A$,2022,"1 (0.7492), 2 (0.3750), 3 (0.5964), 4 (0.6173), 5 (0.6812)",[0.0],0,"[0.5473, 0.0]",1
